Ad Name,Day,Campaign Name,Ad Set Name,Reporting Ends,Impressions,Clicks (All),Amount Spent (USD),Video Plays,Video Plays [On Ad],ThruPlays,ThruPlays [On Ad],Link Clicks,Link Clicks [On Ad],Reach,Purchases,Purchases [1 Day After Viewing],Purchases [28 Days After Clicking],Landing Page Views,Landing Page Views [On Ad],Page Engagement,Page Engagement [On Ad],Page Engagement [1 Day After Viewing],Page Engagement [28 Days After Clicking],Reporting Starts
University of Everyone_LEARN_MORE_,03/02/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,03/02/2018,5879,33,9.22,,,,,37,37,2227,,,,16,16,37,37,0,0,03/02/2018
Integrate community-based learning into your education while studying in vibrant Portland,03/02/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/02/2018,446,1,3.3,,,,,,,431,,,,,,,,,,03/02/2018
"""I want to help make a difference, that's why I chose USM.""",03/02/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/02/2018,666,2,4.82,,,,,,,635,,,,,,1,1,0,0,03/02/2018
Integrate community-based learning into your education while studying in vibrant Portland,03/02/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/02/2018,956,4,6.81,,,,,,,909,,,,,,2,2,0,0,03/02/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",03/02/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/02/2018,113,0,0.85,,,,,,,112,,,,,,,,,,03/02/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",03/02/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/02/2018,632,1,4.72,,,,,,,594,,,,,,1,1,0,0,03/02/2018
Find Yourself Here_LEARN_MORE_,03/01/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,03/01/2018,3531,18,4.46,,,,,18,18,1692,,,,2,2,18,18,0,0,03/01/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/01/2018,398,1,2.44,,,,,,,370,,,,,,,,,,03/01/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/01/2018,584,1,3.44,,,,,,,560,,,,,,,,,,03/01/2018
University of Everyone_Apply Now_,03/01/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],03/01/2018,1282,4,5.35,,,,,4,4,753,,,,4,4,4,4,0,0,03/01/2018
Integrate community-based learning into your education while studying in vibrant Portland,03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/01/2018,146,1,0.9,,,,,,,144,,,,,,1,1,0,0,03/01/2018
University of Everyone_LEARN_MORE_,03/01/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],03/01/2018,1652,8,11.07,,,,,5,5,957,,,,1,1,6,6,0,0,03/01/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/01/2018,201,0,1.56,,,,,,,200,,,,,,,,,,03/01/2018
University of Everyone_LEARN_MORE_,03/01/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,03/01/2018,1134,6,2.38,,,,,6,6,562,,,,1,1,6,6,0,0,03/01/2018
"""I want to help make a difference, that's why I chose USM.""",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/01/2018,1198,2,8.48,,,,,,,1118,,,,,,2,2,0,0,03/01/2018
Find Yourself Here_LEARN_MORE_,03/01/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],03/01/2018,1541,4,2.32,,,,,3,3,971,,,,,,3,3,0,0,03/01/2018
University of Everyone_Apply Now_,03/01/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,03/01/2018,1262,6,1.7,,,,,6,6,614,,,,2,2,6,6,0,0,03/01/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/01/2018,327,1,2.52,,,,,,,325,,,,,,1,1,0,0,03/01/2018
Integrate community-based learning into your education while studying in vibrant Portland,03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/01/2018,485,3,3.65,,,,,,,478,,,,,,2,2,0,0,03/01/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/01/2018,955,5,5.49,,,,,,,866,,,,,,4,4,0,0,03/01/2018
University of Everyone_LEARN_MORE_,03/01/2018,USM FY 2017-2018 Page Link,[AGO_HS_UG] Out Of State- Spring,03/01/2018,3819,26,5.95,,,,,26,26,1598,,,,7,7,26,26,0,0,03/01/2018
University of Everyone_LEARN_MORE_,03/01/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],03/01/2018,1556,9,11.63,,,,,11,11,928,,,,2,2,11,11,0,0,03/01/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],03/01/2018,438,3,3.23,,,,,,,425,,,,,,2,2,0,0,03/01/2018
"""I want to help make a difference, that's why I chose USM.""",03/01/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,03/01/2018,1452,7,8.5,,,,,,,1283,,,,,,4,4,0,0,03/01/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/28/2018,390,0,2.46,,,,,,,387,,,,,,,,,,02/28/2018
University of Everyone_Apply Now_,02/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/28/2018,1048,4,2.73,,,,,4,4,532,,,,2,2,4,4,0,0,02/28/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/28/2018,261,1,2.09,,,,,,,258,,,,,,,,,,02/28/2018
University of Everyone_LEARN_MORE_,02/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/28/2018,1119,3,6.29,,,,,3,3,567,,,,2,2,3,3,0,0,02/28/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/28/2018,281,2,2.27,,,,,,,274,,,,,,1,1,0,0,02/28/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/28/2018,205,0,1.77,,,,,,,198,,,,,,,,,,02/28/2018
Find Yourself Here_LEARN_MORE_,02/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/28/2018,1372,9,10.28,,,,,10,10,819,,,,5,5,10,10,0,0,02/28/2018
University of Everyone_LEARN_MORE_,02/28/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/28/2018,1099,6,2.42,,,,,4,4,645,,,,2,2,4,4,0,0,02/28/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/28/2018,214,0,1.36,,,,,,,211,,,,,,,,,,02/28/2018
"""I want to help make a difference, that's why I chose USM.""",02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/28/2018,1085,10,8.38,,,,,,,1036,1,0,1,,,7,7,0,0,02/28/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/28/2018,769,5,5.88,,,,,,,733,,,,,,2,2,0,0,02/28/2018
"Academic credit may be available to you through prior courses, military or work experience",02/28/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/28/2018,1526,1,8.63,,,,,,,1519,,,,,,1,1,0,0,02/28/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/27/2018,1040,2,6.41,,,,,,,1010,4,0,4,,,1,1,0,0,02/27/2018
University of Everyone_Apply Now_,02/27/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/27/2018,1392,8,7.52,,,,,6,6,792,,,,1,1,6,6,0,0,02/27/2018
"""I want to help make a difference, that's why I chose USM.""",02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/27/2018,794,6,6.19,,,,,,,751,,,,,,3,3,0,0,02/27/2018
University of Everyone_LEARN_MORE_,02/27/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/27/2018,1270,9,8.84,,,,,9,9,728,,,,4,4,9,9,0,0,02/27/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/27/2018,679,0,5.13,,,,,,,653,,,,,,,,,,02/27/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/27/2018,242,1,1.8,,,,,,,236,,,,,,,,,,02/27/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/27/2018,419,3,3.22,,,,,,,409,,,,,,1,1,0,0,02/27/2018
University of Everyone_LEARN_MORE_,02/27/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/27/2018,1724,8,4.5,,,,,5,5,834,2,2,0,1,1,6,6,0,0,02/27/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/27/2018,498,3,3.83,,,,,,,483,,,,,,2,2,0,0,02/27/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/27/2018,2171,1,13.29,,,,,,,2131,,,,,,1,1,0,0,02/27/2018
Find Yourself Here_LEARN_MORE_,02/27/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/27/2018,1251,7,4.24,,,,,5,5,713,,,,3,3,5,5,0,0,02/27/2018
"Academic credit may be available to you through prior courses, military or work experience",02/27/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/27/2018,3014,4,17.71,,,,,,,2951,,,,,,4,4,0,0,02/27/2018
"Academic credit may be available to you through prior courses, military or work experience",02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/26/2018,1844,2,10.77,,,,,,,1784,,,,,,4,4,0,0,02/26/2018
University of Everyone_LEARN_MORE_,02/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/26/2018,3947,10,7.44,,,,,8,8,1741,,,,3,3,8,8,0,0,02/26/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/26/2018,2652,3,15.61,,,,,,,2584,,,,,,2,2,0,0,02/26/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/26/2018,472,0,3.25,,,,,,,462,,,,,,,,,,02/26/2018
"""I want to help make a difference, that's why I chose USM.""",02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/26/2018,711,2,5.13,,,,,,,683,1,1,0,,,1,1,0,0,02/26/2018
University of Everyone_Apply Now_,02/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/26/2018,1969,9,3.05,,,,,7,7,1078,,,,2,2,7,7,0,0,02/26/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/26/2018,413,0,2.92,,,,,,,401,,,,,,,,,,02/26/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/26/2018,1527,2,9.14,,,,,,,1482,,,,,,1,1,0,0,02/26/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/26/2018,721,3,5.13,,,,,,,689,,,,,,1,1,0,0,02/26/2018
Find Yourself Here_LEARN_MORE_,02/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/26/2018,2395,3,2.53,,,,,1,1,1322,,,,,,1,1,0,0,02/26/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/26/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/26/2018,181,0,1.34,,,,,,,177,,,,,,,,,,02/26/2018
University of Everyone_LEARN_MORE_,02/26/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/26/2018,1524,7,2.65,,,,,5,5,818,,,,1,1,6,6,0,0,02/26/2018
"Academic credit may be available to you through prior courses, military or work experience",02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/25/2018,1677,2,9.22,,,,,,,1633,1,1,0,,,1,1,0,0,02/25/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/25/2018,577,3,4.23,,,,,,,552,,,,,,3,3,0,0,02/25/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/25/2018,255,3,1.84,,,,,,,250,,,,,,1,1,0,0,02/25/2018
University of Everyone_LEARN_MORE_,02/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/25/2018,939,2,0.83,,,,,2,2,573,,,,,,2,2,0,0,02/25/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/25/2018,173,0,1.22,,,,,,,170,,,,,,,,,,02/25/2018
"""I want to help make a difference, that's why I chose USM.""",02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/25/2018,707,1,5.11,,,,,,,669,,,,,,1,1,0,0,02/25/2018
University of Everyone_LEARN_MORE_,02/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/25/2018,2339,11,13.37,,,,,12,12,1171,,,,6,6,12,12,0,0,02/25/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/25/2018,1035,1,7.01,,,,,,,976,,,,,,1,1,0,0,02/25/2018
Find Yourself Here_LEARN_MORE_,02/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/25/2018,1909,6,3.07,,,,,4,4,1191,,,,3,3,4,4,0,0,02/25/2018
University of Everyone_Apply Now_,02/25/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/25/2018,1709,2,4.88,,,,,2,2,946,,,,1,1,2,2,0,0,02/25/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/25/2018,2367,0,13.01,,,,,,,2330,,,,,,,,,,02/25/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/25/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/25/2018,2463,3,13.82,,,,,,,2363,,,,,,2,2,0,0,02/25/2018
"Academic credit may be available to you through prior courses, military or work experience",02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/24/2018,2835,2,16.24,,,,,,,2785,,,,,,3,3,0,0,02/24/2018
"""I want to help make a difference, that's why I chose USM.""",02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/24/2018,805,4,6.03,,,,,,,771,,,,,,3,3,0,0,02/24/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/24/2018,1425,1,8.54,,,,,,,1356,,,,,,2,2,0,0,02/24/2018
University of Everyone_LEARN_MORE_,02/24/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/24/2018,1626,6,9.31,,,,,7,7,787,,,,3,3,7,7,0,0,02/24/2018
University of Everyone_LEARN_MORE_,02/24/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/24/2018,827,3,0.26,,,,,1,1,521,,,,,,2,2,0,0,02/24/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/24/2018,1962,3,11.02,,,,,,,1937,2,0,2,,,,,,,02/24/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/24/2018,302,1,2.35,,,,,,,296,,,,,,,,,,02/24/2018
Find Yourself Here_LEARN_MORE_,02/24/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/24/2018,2006,10,12.67,,,,,6,6,1313,,,,3,3,6,6,0,0,02/24/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/24/2018,523,1,3.96,,,,,,,507,,,,,,,,,,02/24/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/24/2018,338,0,2.61,,,,,,,332,,,,,,,,,,02/24/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/24/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/24/2018,615,3,4.58,,,,,,,596,,,,,,,,,,02/24/2018
University of Everyone_Apply Now_,02/24/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/24/2018,1796,10,7.44,,,,,9,9,1025,,,,2,2,9,9,0,0,02/24/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/23/2018,449,2,3.39,,,,,,,435,,,,,,,,,,02/23/2018
University of Everyone_Apply Now_,02/23/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/23/2018,1390,11,7.47,,,,,10,10,843,,,,4,4,10,10,0,0,02/23/2018
"""I want to help make a difference, that's why I chose USM.""",02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/23/2018,787,6,5.95,,,,,,,747,,,,,,4,4,0,0,02/23/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/23/2018,447,2,3.42,,,,,,,437,,,,,,1,1,0,0,02/23/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/23/2018,1567,1,9.71,,,,,,,1499,,,,,,2,2,0,0,02/23/2018
"Academic credit may be available to you through prior courses, military or work experience",02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/23/2018,2196,5,13.06,,,,,,,2161,,,,,,5,5,0,0,02/23/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/23/2018,467,2,3.54,,,,,,,455,,,,,,2,2,0,0,02/23/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/23/2018,2318,1,13.71,,,,,,,2264,,,,,,1,1,0,0,02/23/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/23/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/23/2018,524,2,4.03,,,,,,,512,,,,,,1,1,0,0,02/23/2018
University of Everyone_LEARN_MORE_,02/23/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/23/2018,1601,8,3.26,,,,,5,5,755,,,,3,3,6,6,0,0,02/23/2018
University of Everyone_LEARN_MORE_,02/23/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/23/2018,894,3,7.4,,,,,5,5,536,,,,,,5,5,0,0,02/23/2018
Find Yourself Here_LEARN_MORE_,02/23/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/23/2018,1696,8,8.01,,,,,7,7,908,,,,3,3,7,7,0,0,02/23/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/22/2018,2291,3,13.55,,,,,,,2147,,,,,,1,1,0,0,02/22/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/22/2018,2092,1,12.11,,,,,,,2044,,,,,,,,,,02/22/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/22/2018,235,0,2.11,,,,,,,235,,,,,,,,,,02/22/2018
University of Everyone_Apply Now_,02/22/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/22/2018,1130,8,8.29,,,,,5,5,766,,,,2,2,5,5,0,0,02/22/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/22/2018,182,0,1.68,,,,,,,181,,,,,,,,,,02/22/2018
University of Everyone_LEARN_MORE_,02/22/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/22/2018,1190,4,1.76,,,,,3,3,689,,,,,,3,3,0,0,02/22/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/22/2018,413,2,3.08,,,,,,,405,,,,,,2,2,0,0,02/22/2018
"""I want to help make a difference, that's why I chose USM.""",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/22/2018,142,1,1.3,,,,,,,141,,,,,,1,1,0,0,02/22/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/22/2018,654,2,4.72,,,,,,,633,,,,,,1,1,0,0,02/22/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/22/2018,187,0,1.44,,,,,,,183,,,,,,,,,,02/22/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/22/2018,62,0,0.61,,,,,,,61,,,,,,,,,,02/22/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/22/2018,448,1,4.03,,,,,,,430,,,,,,,,,,02/22/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/22/2018,706,0,5.08,,,,,,,674,,,,,,,,,,02/22/2018
University of Everyone_LEARN_MORE_,02/22/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/22/2018,1754,5,1.05,,,,,3,3,898,,,,3,3,3,3,0,0,02/22/2018
Find Yourself Here_LEARN_MORE_,02/22/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/22/2018,1561,4,1.82,,,,,2,2,855,,,,1,1,2,2,0,0,02/22/2018
"Academic credit may be available to you through prior courses, military or work experience",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/22/2018,1601,2,9.91,,,,,,,1550,,,,,,,,,,02/22/2018
"""I want to help make a difference, that's why I chose USM.""",02/22/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/22/2018,701,2,5.2,,,,,,,681,,,,,,,,,,02/22/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/21/2018,1188,1,10.07,,,,,,,1124,,,,,,,,,,02/21/2018
University of Everyone_LEARN_MORE_,02/21/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/21/2018,1207,9,4.37,,,,,7,7,632,,,,2,2,8,8,0,0,02/21/2018
"""You can’t change the whole country, but you can make a difference where you’re at.""",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/21/2018,327,3,2.35,,,,,,,323,1,0,1,,,1,1,0,0,02/21/2018
"Academic credit may be available to you through prior courses, military or work experience",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/21/2018,2081,3,12.56,,,,,,,2019,1,1,0,,,2,2,0,0,02/21/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/21/2018,253,0,1.84,,,,,,,241,,,,,,,,,,02/21/2018
University of Everyone_LEARN_MORE_,02/21/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/21/2018,764,2,4.24,,,,,3,3,436,,,,,,3,3,0,0,02/21/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/21/2018,232,1,1.62,,,,,,,227,,,,,,1,1,0,0,02/21/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/21/2018,1227,3,8.43,,,,,,,1156,,,,,,1,1,0,0,02/21/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/21/2018,644,3,5.93,,,,,,,620,,,,,,3,3,0,0,02/21/2018
Integrate community-based learning into your education while studying in vibrant Portland,02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/21/2018,148,0,1.35,,,,,,,142,,,,,,,,,,02/21/2018
"Our transfer process helps you to continue your academic path, or explore new directions",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/21/2018,1900,2,11.24,,,,,,,1789,,,,,,1,1,0,0,02/21/2018
University of Everyone_Apply Now_,02/21/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],02/21/2018,703,3,5.99,,,,,3,3,465,,,,,,3,3,0,0,02/21/2018
"""I want to help make a difference, that's why I chose USM.""",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/21/2018,516,0,4.56,,,,,,,489,,,,,,,,,,02/21/2018
"""I want to help make a difference, that's why I chose USM.""",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],02/21/2018,831,2,5.75,,,,,,,787,1,1,0,,,1,1,0,0,02/21/2018
"Small, thought-provoking classes, taught by faculty who are leaders in their field",02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG] FB_High School - Out Of State,02/21/2018,787,2,6.73,,,,,,,759,,,,,,1,1,0,0,02/21/2018
USM offers transfer opportunities and experienced advisors to help you with the process,02/21/2018,USM FY 2017-2018 Page Post Engagement,[BR_CU_TR] FB_Transfers,02/21/2018,2092,3,12.18,,,,,,,2060,,,,,,1,1,0,0,02/21/2018
