Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate
01/21/2018,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1200,0.08
04/12/2018,USM_FY18,USMFY18_Summer_DBM_300x600,doubleclick.com/bidmanager,USMFY18_Summer_DBM_300x600,Standard,USM-FY18_SummerSession_300x600,(not set),1,1201,0.08
02/14/2018,USM_FY18,160x600_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Elliot-B,(not set),1,1202,0.08
09/12/2017,USM_FY18,DBM_Video_Lauren_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,1,1203,0.08
12/21/2017,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,1206,0.08
02/12/2018,USM_FY18,160x600_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Kusow-B,(not set),1,1206,0.08
12/15/2017,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1207,0.08
01/20/2018,USM_FY18,DBM_Video_Lauren_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,1,1207,0.08
05/21/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-B,(not set),1,1208,0.08
04/21/2018,USM_FY18,728x90_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_728x90,Standard,728x90_USM-Refresh_Elliot-A,(not set),1,1212,0.08
04/19/2018,USM_FY18,USMFY18_Summer_DBM_300x600,doubleclick.com/bidmanager,USMFY18_Summer_DBM_300x600,Standard,USM-FY18_SummerSession_300x600,(not set),1,1213,0.08
